Image,Class (Location),Query,Answer,Generated Reply
1,Lobby,Is this a Lobby?,yes,
2,Prison Cell,Is this a Meeting Room?,no,
3,Toy Store,Is this a Florist?,no,
4,Meeting Room,Is this a Meeting Room?,yes,
5,Kindergarten,Is this a Florist?,no,
6,Grocery Store,Is this a Grocery Store?,yes,
7,Concert Hall,Is this a Movie Theatre?,no,
8,Locker Room,Is this a Locker Room?,yes,
9,Restaurant,Is this a Lobby?,no,
10,Office,Is this a Office?,yes,
11,Staircase,Is this a Staircase?,yes,
12,TV Studio,Is this a Movie Theatre?,no,
13,Music Studio,Is this a Music Studio?,yes,
14,Nursery,Is this a Dental Office?,no,
15,Shoe Shop,Is this a Shoe Shop?,yes,
16,Living Room,Is this a Movie Theatre?,no,
17,Garage,Is this a Wine Cellar?,no,
18,Subway,Is this a Wine Cellar?,no,
19,Movie Theatre,Is this a Movie Theatre?,yes,
20,Pool,Is this a Pool?,yes,
21,Laundromat,Is this a Laundromat?,yes,
22,Operating Room,Is this a Corridor?,no,
23,TV Studio,Is this a TV Studio?,yes,
24,Wine Cellar,Is this a Wine Cellar?,yes,
25,Video Store,Is this a Toy Store?,no,
26,Dental Office,Is this a Dental Office?,yes,
27,Church,Is this a Staircase?,no,
28,Deli,Is this a Restaurant Kitchen?,no,
29,Elevator,Is this a Corridor?,no,
30,Florist,Is this a Florist?,yes,
31,Hospital Room,Is this a Hospital Room?,yes,
32,Meeting Room,Is this a TV Studio?,no,
33,Restaurant Kitchen,Is this a Restaurant Kitchen?,yes,
34,Jewellery Store,Is this a Toy Store?,no,
35,Computer Room,Is this a Computer Room?,yes,
36,Library,Is this a Shoe Shop?,no,
37,Greenhouse,Is this a Greenhouse?,yes,
38,Mall,Is this a Mall?,yes,
39,Pantry,Is this a Pantry?,yes,
40,Casino,Is this a Laundromat?,no,
41,Laboratory,Is this a Casino?,no,
42,Game Room,Is this a Wine Cellar?,no,
43,Subway,Is this a Subway?,yes,
44,Gym,Is this a Kitchen?,no,
45,Corridor,Is this a Corridor?,yes,
46,Clothing Store,Is this a Deli?,no,
47,Cloister,Is this a Pool?,no,
48,Waiting Room,Is this a Classroom?,no,
49,Children Room,Is this a Classroom?,no,
50,Music Studio,Is this a Music Studio?,yes,
51,Wine Cellar,Is this a Garage?,no,
52,Bakery,Is this a Bakery?,yes,
53,Art Studio,Is this a Art Studio?,yes,
54,Fast Food Restaurant,Is this a Cloister?,no,
55,Closet,Is this a Closet?,yes,
56,Deli,Is this a Mall?,no,
57,Video Store,Is this a Grocery Store?,no,
58,Staircase,Is this a Staircase?,yes,
59,Train Station,Is this a Bus?,no,
60,Prison Cell,Is this a Prison Cell?,yes,
61,Museum,Is this a Mall?,no,
62,Living Room,Is this a Kitchen?,no,
63,Church,Is this a Church?,yes,
64,Florist,Is this a Florist?,yes,
65,Dining Room,Is this a Restaurant?,no,
66,Hair Salon,Is this a Hair Salon?,yes,
67,Dental Office,Is this a Art Studio?,no,
68,Lobby,Is this a Lobby?,yes,
69,Locker Room,Is this a Locker Room?,yes,
70,Airport,Is this a Bakery?,no,
71,Warehouse,Is this a Warehouse?,yes,
72,Pool,Is this a Pool?,yes,
73,Movie Theatre,Is this a Fast Food Restaurant?,no,
74,Auditorium,Is this a Auditorium?,yes,
75,Buffet,Is this a Buffet?,yes,
76,Elevator,Is this a Waiting Room?,no,
77,Computer Room,Is this a Bowling Alley?,no,
78,Grocery Store,Is this a Grocery Store?,yes,
79,Gym,Is this a Elevator?,no,
80,Garage,Is this a Kindergarten?,no,
81,Laundromat,Is this a Buffet?,no,
82,Kindergarten,Is this a Kindergarten?,yes,
83,Hospital Room,Is this a Cloister?,no,
84,Kitchen,Is this a Laboratory?,no,
85,Pantry,Is this a Pantry?,yes,
86,Bus,Is this a Subway?,no,
87,Cloister,Is this a Buffet?,no,
88,Train Station,Is this a Train Station?,yes,
89,Waiting Room,Is this a Waiting Room?,yes,
90,Bowling Alley,Is this a Shoe Shop?,no,
91,Classroom,Is this a Classroom?,yes,
92,Fast Food Restaurant,Is this a Fast Food Restaurant?,yes,
93,Jewellery Store,Is this a Warehouse?,no,
94,Laboratory,Is this a Laboratory?,yes,
95,Mall,Is this a Mall?,yes,
96,Restaurant Kitchen,Is this a Restaurant Kitchen?,yes,
97,Toy Store,Is this a Clothing Store?,no,
98,Warehouse,Is this a Store?,no,
99,Shoe Shop,Is this a Shoe Shop?,yes,
100,Closet,Is this a Closet?,yes,
101,Living Room,Is this a Bedoom?,no,
102,Book Store,Is this a Library?,no,
103,Museum,Is this a Museum?,yes,
104,Prison Cell,Is this a Prison Cell?,yes,
105,Lobby,Is this a Lobby?,yes,
106,Pantry,Is this a Kitchen?,no,
107,Nursery,Is this a Nursery?,yes,
108,Cloister,Is this a Corridor?,no,
109,Library,Is this a Book Store?,no,
110,Hospital Room,Is this a Hospital Room?,yes,
111,Movie Theatre,Is this a Movie Theatre?,yes,
112,Laundromat,Is this a Kitchen?,no,
113,Clothing Store,Is this a Shoe Shop?,no,
114,Mall,Is this a Staircase?,no,
115,Music Studio,Is this a Music Studio?,yes,
116,Restaurant Kitchen,Is this a Restaurant Kitchen?,yes,
117,Warehouse,Is this a Museum?,no,
118,Train Station,Is this a Subway?,no,
119,Office,Is this a Bedroom?,no,
120,Grocery Store,Is this a Grocery Store?,yes,
121,Casino,Is this a Shoe Shop?,no,
122,Dining Room,Is this a Nursery?,no,
123,Computer Room,Is this a Computer Room?,yes,
124,Art Studio,Is this a Mall?,no,
125,Church,Is this a Living Room?,no,
126,Hospital Room,Is this a Music Studio?,no,
127,Library,Is this a Library?,yes,
128,Museum,Is this a Museum?,yes,
129,Wine Cellar,Is this a Museum?,no,
130,Office,Is this a Prison Cell?,no,
131,Shoe Shop,Is this a Shoe Shop?,yes,
132,Waiting Room,Is this a Library?,no,
133,Restaurant Kitchen,Is this a Restaurant Kitchen?,yes,
134,Lobby,Is this a Lobby?,yes,
135,Concert Hall,Is this a Concert Hall?,yes,
136,Buffet,Is this a Buffet?,yes,
137,Hair Salon,Is this a Warehouse?,no,
138,Subway,Is this a Subway?,yes,
139,Corridor,Is this a Corridor?,yes,
140,Closet,Is this a Pantry?,no,
141,Computer Room,Is this a Office?,no,
142,Jewellery Store,Is this a Clothing Store?,no,
143,Dental Office,Is this a Music Studio?,no,
144,Computer Room,Is this a Computer Room?,yes,
145,Gym,Is this a Train Station?,no,
146,Fast Food Restaurant,Is this a Fast Food Restaurant?,yes,
147,Library,Is this a Book Store?,no,
148,Locker Room,Is this a Casino?,no,
149,Bus,Is this a Office?,no,
150,Meeting Room,Is this a Art Studio?,no,
151,Train Station,Is this a Train Station?,yes,
152,Prison Cell,Is this a Closet?,no,
153,Elevator,Is this a Church?,no,
154,Game Room,Is this a Game Room?,yes,
155,Laboratory,Is this a Dental Office?,no,
156,Pool,Is this a Gym?,no,
157,Toy Store,Is this a Buffet?,no,
158,Staircase,Is this a Library?,no,
159,Video Store,Is this a Video Store?,yes,
160,Lobby,Is this a Lobby?,yes,
161,Mall,Is this a Corridor?,no,
162,Garage,Is this a Garage?,yes,
163,Buffet,Is this a Kitchen?,no,
164,Closet,Is this a Closet?,yes,
165,Locker Room,Is this a Fast Food Restaurant?,no,
166,Dining Room,Is this a Library?,no,
167,Book Store,Is this a Prison Cell?,no,
168,Corridor,Is this a Corridor?,yes,
169,Music Studio,Is this a TV Studio?,no,
170,Prison Cell,Is this a Prison Cell?,yes,
171,Meeting Room,Is this a Meeting Room?,yes,
172,Elevator,Is this a Elevator?,yes,
173,Operating Room,Is this a Hospital Room?,no,
174,Art Studio,Is this a Art Studio?,yes,
175,Auditorium,Is this a Auditorium?,yes,
176,Fast Food Restaurant,Is this a Fast Food Restaurant?,yes,
177,Bowling Alley,Is this a Bowling Alley?,yes,
178,Living Room,Is this a Laboratory?,no,
179,Jewellery Store,Is this a Jewellery Store?,yes,
180,Museum,Is this a Museum?,yes,
181,Video Store,Is this a TV Studio?,no,
182,Restaurant,Is this a Restaurant?,yes,
183,Train Station,Is this a Train Station?,yes,
184,Children Room,Is this a Nursery?,no,
185,Greenhouse,Is this a Greenhouse?,yes,
186,Hair Salon,Is this a Hair Salon?,yes,
187,Kitchen,Is this a Kitchen?,yes,
188,Toy Store,Is this a Children Room?,no,
189,Airport,Is this a Airport?,yes,
190,Laboratory,Is this a Laboratory?,yes,
191,Dental Office,Is this a Hospital Room?,no,
192,Bus,Is this a Bus?,yes,
193,Shoe Shop,Is this a Clothing Store?,no,
194,Music Studio,Is this a Video Store?,no,
195,Operating Room,Is this a Museum?,no,
196,Classroom,Is this a Nursery?,no,
197,Florist,Is this a Florist?,yes,
198,Airport,Is this a Airport?,yes,
199,Gym,Is this a Airport?,no,
200,Casino,Is this a Casino?,yes,
201,Jewellery Store,Is this a Jewellery Store?,yes,
202,Elevator,Is this a Elevator?,yes,
203,TV Studio,Is this a TV Studio?,yes,
204,Meeting Room,Is this a Lobby?,no,
205,Nursery,Is this a Bowling Alley?,no,
206,Kindergarten,Is this a Kindergarten?,yes,
207,Mall,Is this a Train Station?,no,
208,Staircase,Is this a Bus?,no,
209,Train Station,Is this a Train Station?,yes,
210,Living Room,Is this a Living Room?,yes,
211,Church,Is this a Church?,yes,
212,Game Room,Is this a Jewellery Store?,no,
213,Concert Hall,Is this a Concert Hall?,yes,
214,Garage,Is this a Gym?,no,
215,Grocery Store,Is this a Grocery Store?,yes,
216,Closet,Is this a Pantry?,no,
217,Museum,Is this a Museum?,yes,
218,Waiting Room,Is this a Waiting Room?,yes,
219,Restaurant Kitchen,Is this a Fast Food Restaurant?,no,
220,Bowling Alley,Is this a Bowling Alley?,yes,
221,Hair Salon,Is this a Meeting Room?,no,
222,Church,Is this a Church?,yes,
223,Hospital Room,Is this a Hospital Room?,yes,
224,Elevator,Is this a Pool?,no,
225,Kitchen,Is this a Kitchen?,yes,
226,Clothing Store,Is this a Shoe Store?,no,
227,Computer Room,Is this a Computer Room?,yes,
228,Toy Store,Is this a Toy Store?,yes,
229,Nursery,Is this a Children Room?,no,
230,Restaurant,Is this a Restaurant?,yes,
231,Bowling Alley,Is this a Airport?,no,
232,Auditorium,Is this a Auditorium?,yes,
233,Prison Cell,Is this a Art Studio?,no,
234,Office,Is this a Office?,yes,
